                                      extracted_emojis                              Sentiment_score
92   i recently came to know about this application...                                  (0.0, 0.25)
93   i have to say that the developer of this tik t...    (0.37878787878787873, 0.4681818181818182)
94   it's so fun to dance dancing just for fun not ...                  (0.12999999999999998, 0.27)
95   very nice app. i like it more than tik- tok. j...                                 (0.64, 0.75)
96   love this app. gives me the ability to vibe pr...                  (0.75, 0.44999999999999996)
97   making collage is easier than ever now with th...                                   (0.0, 0.0)
98   i found this app really good ... the content h...                              (0.3625, 0.525)
99   it's a lot harder to use than tik tok i actual...   (0.10476190476190476, 0.37738095238095243)
100  this is a wonderful app... great going very so...                  (0.4166666666666667, 0.425)
101  this is my favorite video social app , im a mu...    (0.33416666666666667, 0.6933333333333334)
102  the reason i am recommending this tik tok vide...                  (0.225, 0.6583333333333333)
103  probably the best video editor ever. you guys ...                                   (1.0, 0.3)
104  satisfied with the capabilities i were given o...                  (0.45833333333333337, 0.75)
105  triller is just awesome. u do the videos and i...                                   (1.0, 1.0)
106  very exciting experience and very easy to navi...                    (0.4766666666666667, 1.0)
107  this app is cool but i often wonder why it tak...                                (0.15, 0.525)
108  this is my first time on triller but its amazi...                 (0.3375, 0.7083333333333334)
109  why would i use a different tik tok editor whe...                                   (0.2, 0.5)
110  h3 sent me and told me to give an honest revie...     (0.6666666666666666, 0.7166666666666667)
111  its is usefull app but its dont some languages...                                 (0.55, 0.75)
112  i like it,but please under editing,make it pos...                                   (0.0, 1.0)
113  great for when i'm bored and feel like express...                              (0.325, 0.8375)
114  thank you for this app. this is the best app f...                                   (1.0, 0.3)
115  your app does do the incredible videos, mostly...     (0.5166666666666666, 0.7083333333333334)
116  i think it's really cool but it should have so...                                 (0.35, 0.65)
117  lots of fun! love this app. only issue is i do...                    (0.2916666666666667, 0.6)
118  he is brilliant app tik tok is not best but he...                 (0.3375, 0.5343749999999999)
119  this is actually a great app, though it domina...                                  (0.8, 0.75)
120  no bothering pop ups or no bothering permissio...                                   (0.4, 0.8)
121  great app that does all the editing for you in...                                  (0.8, 0.75)
122  i love this app ....interface is classic and s...    (0.45555555555555555, 0.5555555555555555)
123  best app, this video editor made me feel reall...                                 (0.9, 0.525)
124  american company, data stays in america, thus ...                                   (0.0, 0.0)
125  have tried various applications, but this one ...                    (0.5, 0.7000000000000001)
126  just great! love it!! little bit same instagra...                         (0.3984375, 0.49375)
127  it's a great stress reliever and it fun especi...                (0.15000000000000002, 0.7375)
128  i love this app, all i need to fill my long lo...   (-0.06999999999999998, 0.6799999999999999)
129  giving 5 stars because i work here.. and we ha...                   (0.1, 0.13333333333333333)
