                                      extracted_emojis                               Sentiment_score
91   exceptional app that makes connecting with peo...      (0.5333333333333333, 0.6799999999999999)
92   biased application. #freepalestine it has been...                 (0.2875, 0.48750000000000004)
93   this is the best way that l can communicate wi...                  (0.325, 0.45000000000000007)
94   day by day facebook is improved a lot. but the...                                   (-0.2, 0.4)
95   this is very nice and beautiful pictures of th...                     (0.8266666666666667, 1.0)
96               very goof useful for communications..                                  (0.25, 0.15)
97   this app is verry good and easy communication ...      (0.5666666666666667, 0.7166666666666668)
98   a very cool application to connect with friend...     (0.45499999999999996, 0.8450000000000001)
99   a little annoyed everytime i get-on marketplac...                   (-0.09166666666666667, 0.5)
100  i love it but sometime it lags and also it don...                                  (0.175, 0.5)
101  bangladesh is most famous app facebook, facebo...      (0.4866666666666667, 0.7380952380952381)
102  i can't log out my account why,what happen??? ...                                    (0.0, 0.0)
103  this is me jamiela green this app it's good an...      (0.2976190476190476, 0.4690476190476191)
104             loving the ease and simplicity of use.                                   (0.6, 0.95)
105  can you please add "nearby" in the application...                                   (0.8, 0.75)
106  great for distant communicating in these end t...                   (0.35000000000000003, 0.55)
107     i love facebook. very efficient to use. daily.                     (0.2333333333333333, 0.3)
108  my experience was very good. the staff was hel...       (0.4560714285714285, 0.612857142857143)
109  jus easy to use the platform i like connecting...     (0.43333333333333335, 0.8333333333333334)
110  good but it's very slow and it always wants to...    (0.16999999999999996, 0.40666666666666673)
111  facebook should have a recent watched videos f...     (0.25555555555555554, 0.6638888888888889)
112  sometimes the ui of the app would show the upd...                                    (0.1, 0.2)
113  it is a fantastic app especially to message fr...                                   (0.2, 0.95)
114  thank you exceptionally  to connecting with th...                    (0.47916666666666663, 0.6)
115  normally we using this app to keep contact wit...                 (0.1875, 0.42916666666666664)
116  it's a station where we can enjoy to playing v...                                (0.375, 0.525)
117  good till today. it's won't open just keeps cr...                                  (0.35, 0.55)
118  i can't change my facebook profile picture. wh...                                    (0.0, 0.0)
119  hello facebook page team i have 199.694 follow...   (-0.16666666666666666, 0.06666666666666667)
120  this is a bad app. no message from any girl. a...     (-0.6999999999999998, 0.6666666666666666)
121  sir develop of facebook i'm totaly upset about...     (0.11388888888888889, 0.5166666666666667)
122  i like facebook,but it's doesn't join to play ...                                    (0.0, 0.0)
123  i love being able to see family across many st...                              (0.125, 0.68125)
124  excellent just make it more easier to unfriend...                                  (0.75, 0.75)
125  i've been blocked account locked account given...                                    (0.0, 0.0)
126  being connected with most people i know is pre...                                (0.4625, 0.75)
127  its good but need to delete or deactivate acou...                     (0.7, 0.6000000000000001)
128            very useful and good communication app❤     (0.5449999999999999, 0.30000000000000004)
129    absolutely fantastic. very enjoyable, exciting.                    (0.45, 0.8266666666666668)
130  i just want to say thank you so much becuase o...                              (0.425, 0.45625)
131  unbelievable support. all im one app that addr...     (0.08333333333333333, 0.8333333333333334)
132  sometime not receive notification . facbook ap...                                    (0.0, 0.0)
133  facebook is good but my problem we cannot open...                                  (0.35, 0.55)
134  ￼ download facebook lite it's small, fast and ...                  (-0.024999999999999994, 0.5)
135  this is a great app that's given a opportunity...                                   (0.8, 0.75)
136  now this fb apps always have problem i everyti...                                 (0.0, 0.0625)
137  it's clear and easy to get, just feel it in yo...      (0.3416666666666666, 0.6208333333333333)
138  great app to help keep you in touch with frien...                                   (0.8, 0.75)
139  social media advertising app on very nice and ...      (0.4155555555555555, 0.6333333333333333)
140  a plus number one high five forever good times...                    (0.43, 0.5700000000000001)
141  if everyone can earn from the account then it ...                  (0.42666666666666664, 0.475)
142                          fantastic and easy to use      (0.4166666666666667, 0.8666666666666667)
143  can someone tell how to fix the loading proble...                                  (0.25, 0.75)
144  i get hours of fun entertainment, information,...                                  (0.15, 0.35)
145  a great app where you can contact more people ...                                 (0.65, 0.625)
146  this app is good and i like it very much, but ...      (0.4533333333333333, 0.5533333333333333)
147  i enjoy the info and get to see how family and...                                    (0.4, 0.5)
148  what's not to love? i just love it❣ except for...    (0.006944444444444453, 0.6188888888888889)
149  turn on facebook professional mode there was n...    (0.06666666666666667, 0.39999999999999997)
150  thanks for the upgrade. the long streams of bl...                                  (0.08, 0.27)
151  excellent way of communication and an excellen...      (0.8333333333333334, 0.8666666666666667)
152  i have an problem on facebook tofay in morning...                                   (0.0, 0.25)
153  i love my tablet and talking to my friends , i...      (0.4777777777777778, 0.6444444444444445)
154  everything is good but there no professional m...     (0.39196428571428565, 0.4419642857142857)
