                                      extracted_emojis                               Sentiment_score
90   simple, secure if configured correctly and rel...                    (0.2, 0.47857142857142854)
91   open source, and just keeps getting better wit...                                   (0.25, 0.5)
92        good for text groups, calls and video calls.                     (0.7, 0.6000000000000001)
93           easy to use reliable and full of features     (0.39166666666666666, 0.6916666666666667)
94   we use for scout troop messages and for dance ...                                    (0.5, 0.6)
95    excellent, safe, secure, private app. top marks!                                (0.505, 0.595)
96   easy to use ,simple menu, without useless mate...  (-0.022222222222222216, 0.46349206349206346)
97   i like the way this app works. easy to load an...     (0.43333333333333335, 0.8333333333333334)
98                    smooth and efficient. no issues.                                    (0.4, 0.5)
99   it's truly private, it's non-profit, it's mult...                                 (0.2, 0.5875)
100  is wonderful app for me after telegram i love ...                                   (0.75, 0.8)
101  straight forward app switches easily between p...     (0.31666666666666665, 0.6166666666666667)
102  the best secure cross platform messaging appli...                     (0.4666666666666666, 0.3)
103        good video and audio quality in video calls                     (0.7, 0.6000000000000001)
104  calling is a difficult....can keep options for...                                    (0.0, 0.0)
105  great private message, calling and video calli...                                 (0.4, 0.5625)
106  ⭐secure ⭐easy2use ⭐no-ads ⭐ aestheticui ⭐smoot...                                    (0.0, 0.0)
107  signal has many features that make your messag...     (0.26801587301587304, 0.4934920634920635)
108  we indians trust your app. your app is really ...      (0.4083333333333334, 0.4883333333333333)
109  most appreciative for the ease of use and serv...                                (0.71875, 0.7)
110  it works! flawlessly. easy to set up. the app ...     (0.48333333333333334, 0.5020833333333333)
111  awesome. it let you connect to your friends an...                     (0.42158203125, 0.459375)
112  i love how this app is set up. i love how i ca...                                    (0.5, 0.6)
113        very simple. more secure & more satisfying                     (0.38, 0.6128571428571428)
114  losing sms will destroy this app in the us. do...                                   (-0.2, 0.0)
115  simple to use and it just works without worryi...                    (0.0, 0.35714285714285715)
116  this app works very well and i'm very happy wi...     (0.35833333333333334, 0.5583333333333333)
117  easy to use, free to send pics and not cabal o...      (0.4166666666666667, 0.8166666666666667)
118  signal works well. we have never had any issue...                   (0.705, 0.6400000000000001)
119  amazing and best app every it's a real privacy...                                    (0.6, 0.6)
120  great experience. feature to send a message,pi...     (0.47000000000000003, 0.5066666666666666)
121  this app is great, that's not to say it's flaw...                           (0.44375, 0.503125)
122  very good when using wifi. not so effective wh...                    (0.7549999999999999, 0.79)
123  great app, would give 4.5 stars because there ...      (0.6966666666666667, 0.9166666666666667)
124  my whole family uses signal instead of the oth...    (0.12708333333333333, 0.47708333333333336)
125  this app is easy and safe. i recommend it for ...      (0.4666666666666667, 0.6666666666666667)
126  perfect alternative for whatsapp + so many opt...                                 (0.625, 0.75)
127  i like the privacy aspect and the text messagi...                                    (0.0, 0.0)
128  perfect message app. encrypted and private, no...                   (0.25, 0.45416666666666666)
129  this is a great app for staying intouch with f...                (0.496875, 0.6458333333333334)
130  is there an issue with the upgrading?because w...                    (0.15000000000000002, 0.2)
131  not as flexible as whatsapp, and the security ...                     (0.7, 0.6000000000000001)
132  great, really enjoying the music and the ease ...                               (0.7125, 0.675)
133  one of the best replacement to whatsapp and ho...                 (0.35000000000000003, 0.3125)
134  very secure app. however it would be nice to s...      (0.3316666666666667, 0.7183333333333334)
135  works just as well as whatsapp. love the priva...     (0.03371212121212122, 0.4878787878787879)
136  one nitpick i personally have is that your (or...                                  (0.38, 0.62)
137        fast messaging for free virtually anywhere.                    (0.30000000000000004, 0.7)
138  really impressed. this does everything i did o...                 (0.2625, 0.29583333333333334)
139                        easy to use. good features.      (0.5666666666666667, 0.7166666666666668)
140            it's been awesome, keep adding features                                    (1.0, 1.0)
141  great app and love keeping my conversations be...                               (0.7125, 0.675)
142  simply great. works like a charm, on mobile as...                                   (0.8, 0.75)
143  best messaging app out there! the privacy on t...                                (0.625, 0.575)
144  zero issues so far. video call very smooth upd...      (0.1561038961038961, 0.6239177489177489)
145  super simple interface, it let's you know when...     (0.33518518518518525, 0.6674603174603174)
146  my only issue is cropping a picture from the b...                                    (0.0, 1.0)
147  works for me. led to believe its secure and me...                                    (0.4, 0.6)
148  excellent! continue this amazing service towar...                                  (0.675, 0.8)
149  great app. i like the ability to mute everyone...                                   (0.8, 0.75)
150  when every paranoid conspiracy nut and drug de...                                  (0.35, 0.55)
151  it's very easy to use & is secure, making any ...      (0.5294444444444445, 0.7000000000000001)
152  signal has an intuitive gui and just works. mu...                                    (0.5, 0.5)
153  great way to keep in touch, simple, capable an...                    (0.35, 0.5267857142857143)
154  excellent alternative to messenger. simply inv...     (0.31398809523809523, 0.4988095238095238)
155  really user friendly not many problems. just w...    (0.10833333333333332, 0.39999999999999997)
156  best sms app. missing some luxury items. but i...     (0.4000000000000001, 0.31666666666666665)
157  good messaging app. features are decent and th...      (0.5388888888888889, 0.7555555555555555)
158  i've been looking for a new encrypted messagin...      (0.3181818181818182, 0.7272727272727273)
159  great application! simple, light and full of f...                  (0.4175, 0.5114285714285715)
160  installed open and used very easy. intuitive o...                    (0.2816666666666667, 0.75)
161  it has come a long way. i initially rated it b...                                (0.2375, 0.45)
162  its great app for secure communication, high q...                  (0.4275, 0.6100000000000001)
163  good for private text and voice chat, privacy ...                   (0.35, 0.48750000000000004)
164  very easy to use wish it had an option to bloc...                  (0.2816666666666667, 0.5625)
165  easy to use no issues it just works so secure ...      (0.5583333333333333, 0.7333333333333334)
166  everyone i have hooked up with signal agrees w...                                    (0.0, 0.0)
167  its great.not sure bout the level of security ...      (0.5316666666666667, 0.9444444444444444)
168  i also use signal as sms app, recently deliver...                                   (0.0, 0.25)
169  great, i just lose my messages when the deskto...                                   (0.8, 0.75)
170  our family uses signal all the time. we love i...                                   (0.45, 0.6)
171  the "signal" is loud and clear with every call...     (0.11250000000000002, 0.5916666666666667)
172  classic, i love how privacy maintained. but fo...     (0.38888888888888884, 0.4222222222222222)
173  excellent app! great quality of the sounds and...                                  (0.9, 0.875)
174  it's a pretty good app. we needed something to...                                  (0.475, 0.8)
175  bye bye whatsapp never had fb or messenger for...                                 (0.685, 0.63)
176  signal should be the default messenger in both...                                    (0.0, 0.0)
177  great app , easy to communicate with everyone ...      (0.7527777777777779, 0.7611111111111111)
178  so far excellent, holds long videos which is g...                    (0.5700000000000001, 0.69)
179  a great and awesome application. the best comm...                               (0.725, 0.7625)
180  overall good performance than facebook messang...                   (0.2333333333333333, 0.325)
181  great app! so similar to whatsapp, but not own...      (0.6666666666666666, 0.7166666666666667)
182  after several updates, the app is now stable a...                                  (0.25, 0.25)
183  great apps overall. wish for, text destruct fo...                                  (0.4, 0.375)
184  when sending a link it still wants to send it ...                                   (0.35, 0.3)
185  excellent audio quality. better than all the o...                                  (0.75, 0.75)
186  does everything i want a messaging app to do w...                                    (0.5, 1.0)
187  great so far. it asks for password/fingerprint...      (0.3333333333333333, 0.6833333333333332)
188  i used this app to stay in touch and receive p...                                    (0.0, 0.0)
189  privacy is vital and while some competitors li...                                   (0.3, 0.45)
190  really simple, quick and easy to use. would de...     (0.19166666666666665, 0.5476190476190477)
191  i'm new to signal, but already have confidence...      (0.2681818181818182, 0.5272727272727272)
192  awesome but you have to make it your primary m...                                   (0.7, 0.75)
193  works smoothly and intuitively! better than most.                                    (0.5, 0.5)
194  private, free and highly useful for chatting t...                               (0.175, 0.3875)
195  good ap not annoying and gets the job done. i ...                     (0.5, 0.7000000000000001)
196  this is the best privacy centered communicatio...                    (0.6166666666666667, 0.45)
197  it's convenient...it works....no problems with...                                    (0.0, 0.0)
198  hands down best! the fact that they are an org...    (0.44503968253968257, 0.48412698412698413)
199  very good really. but my friends have not yet ...      (0.5549999999999999, 0.4900000000000001)
200  is improving with the updates. lots of errors ...                    (0.39999999999999997, 0.4)
201  nice and trusted application...but tere are so...     (0.21666666666666665, 0.4666666666666666)
202  the best secure app for messaging, calls and v...     (0.41481481481481475, 0.3962962962962963)
203  takes a little more effort to set up but it's ...      (0.2041666666666667, 0.3666666666666667)
204  quick sending and safe messages, feels 1000x m...                  (0.43333333333333335, 0.525)
205  very good app for maintaining security without...      (0.9099999999999999, 0.7800000000000001)
206  thank you so much for keeping high privacy sta...      (0.4533333333333333, 0.3466666666666667)
207  my son is overseas. signal makes communication...     (0.43333333333333335, 0.8333333333333334)
208  my girlfriend uses the app and she loves it. s...                   (0.6499999999999999, 0.775)
209  encryption end to end and my detractors don't ...                               (-0.125, 0.375)
210  awesome! i would love to have an easier way to...                                   (0.75, 0.8)
211      fast working app. great for keeping in touch.                                  (0.5, 0.675)
212  it's great, very easy to setup and only requir...     (0.45444444444444443, 0.9166666666666666)
213  a very good messaging app that also supports c...      (0.9099999999999999, 0.7800000000000001)
214  able to send and receive messages across the w...                                  (0.5, 0.625)
215  can you guys add email text block features and...    (0.06666666666666667, 0.17777777777777778)
216  such a great replacement app for sms, with gre...      (0.5333333333333333, 0.6666666666666666)
217  communicating with colleagues and teammates is...     (0.43333333333333335, 0.8333333333333334)
218  i love this app super easy and great for a one...                  (0.5666666666666667, 0.7125)
