                                      extracted_emojis                               Sentiment_score
86   this app is amazing ,however i did have some g...     (0.19305555555555556, 0.4513888888888889)
87   this app makes time faster without you feeling...     (0.21626262626262624, 0.5933333333333333)
88   tiktok is one of the best platforms,i love eve...      (0.5208333333333334, 0.5083333333333333)
89   tik tok is the best app in the world. by provi...                   (0.85, 0.45000000000000007)
90   this app is excellent. one hard thing out of t...    (0.21018518518518517, 0.48148148148148145)
91   great app especially if you're a teen it's an ...      (0.3008333333333334, 0.6883333333333335)
92   been with tik tok a couple of months and is an...                    (0.25, 0.6541666666666667)
93   this app is a best short video flat form. this...     (0.43472222222222223, 0.4597222222222223)
94   the app is really good am gonna give it five s...      (0.6499999999999999, 0.5750000000000001)
95   quite simply very addictive. highly encourage ...    (0.051597222222222225, 0.5463194444444444)
96   i love tik tok and its free you can post video...      (0.2202020202020202, 0.5358585858585858)
97   i love everything you can do with this applica...                                 (0.5625, 0.6)
98   the experience of mine has been good but tikto...                     (0.7, 0.6000000000000001)
99   i love this app it gives you opportunities to ...                                  (0.475, 0.5)
100  the app would be perfect if they moved the ico...                                    (0.5, 0.5)
101  i figured tik tok would be like all of the oth...       (0.347797619047619, 0.6504761904761904)
102  this is my favorite app you could watch videos...                                   (0.25, 0.5)
103  i like the app, i think it's entertaining and ...     (0.06696969696969697, 0.5554545454545454)
104  this app is amazing! i highly recommend this a...                (0.22750000000000004, 0.52875)
105  it has been a great and fun experience to meet...     (0.24727272727272726, 0.6809090909090909)
106  the app is great like girls come and dance on ...                   (0.375, 0.7491666666666668)
107  it is a very amazing app that gets to express ...                    (0.8900000000000001, 0.65)
108  i work hard for four hours to make a video, th...     (-0.2916666666666667, 0.5416666666666666)
109  i love this app it really let's your be your s...                                  (0.3, 0.475)
110  it's really fun to watch tik tok i just love t...                     (0.5, 0.4833333333333334)
111  app works finely on my phone. i haven't experi...      (0.5722222222222223, 0.6749999999999999)
112  the best social media app i know, just needs t...       (0.4592592592592592, 0.662962962962963)
113  this one is the best and one-of-a-kind app i'v...                     (1.0, 0.6000000000000001)
114  the app has changed over time and its gotten e...                                 (0.25, 0.625)
115  this app has changed my life. my whole outlook...    (0.17619047619047618, 0.35952380952380947)
116  i like the new update but got one problem! i'm...    (0.10227272727272725, 0.30303030303030304)
117  it's an amazing app you can watch people do am...                     (0.6000000000000001, 0.9)
118  i'm older so i'm not real computer-oriented bu...    (0.15416666666666667, 0.37083333333333335)
119  well it's addictive instavideo fun. more eroti...                  (0.2875, 0.5766666666666667)
120  it's ok but i also love the way that you can m...     (0.39454545454545453, 0.5218181818181818)
121  my time on this app has been splendid no major...     (0.32552083333333337, 0.5442307692307693)
122  love the variety and brevity! lots of hilariou...                                  (0.625, 0.8)
123  i can spent my time. when i feel loanly tiktok...     (0.34444444444444444, 0.4666666666666667)
124  tik tok gives me many laughs, something for ev...                               (0.725, 0.7625)
125  it's quite addictive it's interesting ads pop ...                     (0.5, 0.7999999999999999)
126  this app is really great.this app make my life...    (0.42777777777777776, 0.42777777777777776)
127  all i can say is that tik tok is the best and ...                              (0.7875, 0.6375)
128  the #1 app. it's the evolution of mtv, mixing ...      (0.3666666666666667, 0.4666666666666666)
129  upp this app is an amazing . it has alots of f...      (0.4333333333333333, 0.4708333333333334)
130  11/2020 so much fun! it took a while to "curat...     (0.48616071428571433, 0.6339285714285714)
131  highly addictive  one platform that allows you...      (0.3333333333333333, 0.8416666666666667)
132  enjoying it immensely...lots of funny things o...     (0.46333333333333326, 0.7733333333333334)
133  love the creative, informative and intriguing ...     (0.43333333333333335, 0.6666666666666666)
134  i just love this app, it has such cool filters...      (0.4040909090909091, 0.6409090909090909)
135  tik tok is really a good app in which we are a...                 (0.5774999999999999, 0.57625)
136  well i will say since i am new with this tikto...     (0.18506493506493507, 0.4683116883116883)
137  i love tiktok bc you can make videos you can w...     (0.26666666666666666, 0.7416666666666666)
138  i love how in the app you can have it on anyth...                   (0.33999999999999997, 0.64)
139  the only source of inspiration i get from the ...                    (0.5199999999999999, 0.68)
140  enjoying this app. it awesome. always laughs, ...                                   (0.75, 0.8)
141  it can expose one to different kinds of knowle...     (0.19015151515151518, 0.7060606060606062)
142  love it! can educate, entertain me and distrac...      (0.4270833333333333, 0.4000000000000001)
143  this app is amazing! it has all the videos tha...      (0.5833333333333334, 0.7000000000000001)
144  all my messages are gone. i can't send message...                                    (0.0, 0.0)
145  very fun and addictive, as a viewer! i also up...                  (0.11499999999999999, 0.385)
146  sometimes i can't use for my video with my sav...                    (0.17500000000000002, 0.4)
147  it's soo cool, how you can use voice effects a...     (0.22361111111111112, 0.5347222222222222)
148  + growing my brain would i found the delete bu...                              (0.1675, 0.2975)
149  tiktok is an amazing app that gives me the opp...     (0.23285714285714287, 0.6442857142857142)
150  one of my top 3 favorite apps kudos to the cre...      (0.5333333333333333, 0.6833333333333332)
