                                      extracted_emojis                               Sentiment_score
95   looks great and it's very organized. can't wai...                             (0.53125, 0.5125)
96   great social app. still in its infancy. but ha...      (0.2777777777777778, 0.6055555555555555)
97   i feel like people are criticising it way too ...     (0.35909090909090907, 0.6636363636363637)
98   love it. have to forgive the beta bugs, but i ...    (0.09444444444444444, 0.35555555555555557)
99   love the app and the intent behind it. noticed...     (0.04999999999999999, 0.6499999999999999)
100  considering its in beta, there are issues. but...    (0.25833333333333336, 0.24791666666666667)
101  loving it so far. photos look better on vero t...                              (0.425, 0.76875)
102  for the music lovers , this app has amaaaaazin...      (0.2416666666666667, 0.6472222222222223)
103  looks nice! can't wait for it to overtake inst...      (0.6833333333333332, 0.7833333333333333)
104  i love the app. sure, there are bugs and the b...     (0.34920634920634924, 0.5396825396825398)
105  it's already fantastic, slick and smooth.give ...                  (0.11666666666666668, 0.605)
106  great app guys, i heard this from a friend ric...                                 (0.65, 0.625)
107  love this app! i rearly use my instagram anymo...                                (0.4125, 0.57)
108  this definitely beats instagram in my book. i ...     (0.16666666666666666, 0.5750000000000001)
109  saw lots of negative reviews, but not had any ...                                (0.125, 0.525)
110  a new way to look at social media. it does hav...     (0.0773989898989899, 0.34040404040404043)
111  beta version, so it has had some beta type iss...                   (0.25833333333333336, 0.85)
112  liking the app alot enjoying the interface of ...     (0.13454545454545455, 0.6393939393939394)
113  i'm in love! finally i can post all the things...                                 (0.5625, 0.8)
114  i love this app! a very big wish for vero in t...                          (0.365625, 0.544375)
115  finally a proper dark-interfaced and intellige...     (0.2592592592592593, 0.32685185185185184)
116  glitches are fixed, app works great. this has ...                                 (0.45, 0.475)
117  i had difficulty opening the app but it's been...                                    (0.6, 1.0)
118  this concept is the way social media should be...    (-0.12222222222222223, 0.2888888888888889)
119  it's a great app... a little like path social ...    (0.10885416666666667, 0.40208333333333335)
120  extremely nice ui. other than the servers bein...                            (0.34375, 0.59375)
121  they should do minor changes and bug fixes so ...   (-0.10833333333333334, 0.13333333333333333)
122  awesome app. the next big thing! i can't wait ...     (0.2763888888888889, 0.36111111111111116)
123  the user interface is minimalistic and i loved...                     (0.1, 0.5599999999999999)
124  the new update has really improved the app a l...      (0.4414141414141414, 0.6121212121212121)
125  the servers are way better, they are still lit...     (0.16916666666666666, 0.4833333333333333)
126  great to see a new social platform gain some t...      (0.25643939393939397, 0.532020202020202)
127  so far so good, hopefully once they have it ru...     (0.26666666666666666, 0.8666666666666667)
128  i love this app! i use it to connect with othe...     (0.11409505208333333, 0.3541666666666667)
129  best ! this is what i need. just for a suggest...                  (0.4125, 0.5062500000000001)
130  app was wonderful until this morning. keeps cr...                                    (1.0, 1.0)
131  lovely app. hope they fix the buggs. and i see...                                 (0.25, 0.375)
132  it's fun and let's you connect and alot of peo...                                    (0.3, 0.2)
133  have been using it for a while now and can't c...                   (0.125, 0.4333333333333333)
134  it's awesome and i'm excited to see it keep gr...                            (0.32421875, 0.65)
135  i am loving this app! thank you for creating t...     (0.22992424242424242, 0.3990530303030303)
136  it is sooo much better than instagram! there's...      (0.3138888888888889, 0.6166666666666667)
137  i love this app, amazing, pls give more update...      (0.5333333333333333, 0.6666666666666666)
138  i love it so far. a bit glitchy here and there...               (0.3665625, 0.6777777777777778)
139  i love this app! i would appreciate to be able...                    (0.75, 0.6583333333333333)
140  can't login even after i get an email that i'm...                                 (0.55, 0.475)
