                                      extracted_emojis                               Sentiment_score
94   the free version works just fine, but i can't ...      (0.6055555555555555, 0.5333333333333333)
95   great for networking. modern, relevant opportu...     (0.43863636363636366, 0.5506493506493507)
96   amazing apps. thank you for this apps, it's ve...     (0.26666666666666666, 0.5333333333333333)
97   linkedin is the best professional app i've eve...                 (0.40156250000000004, 0.4625)
98   linkedin is probably the most inspiring profes...                (0.271875, 0.5218750000000001)
99   logout not poss (once u in, u all in policy?),...                           (-0.048828125, 0.4)
100  truly professional and great platform for work...                                (0.25, 0.3125)
101  i find this app easy to use. great networking ...      (0.42095238095238097, 0.641904761904762)
102  highly recommended. best application for a pro...                   (0.51, 0.32333333333333336)
103  excellent perfectly fine with me and my carrie...     (0.47222222222222227, 0.5416666666666666)
104  hello, the app was great but now it is stoppin...                  (0.35000000000000003, 0.675)
105  this is a helpful way to broaden and manage my...                                    (0.0, 0.0)
106  feeling confident that i can do much more.i wa...                   (0.425, 0.5083333333333333)
107  this app gives itself five stars because it wo...                                 (0.1, 0.2125)
108  the app works well and i am concent with the v...                                    (0.0, 0.0)
109  it's one of famous app in terms carries experi...                                    (0.5, 1.0)
110  great app for professional association.however...                                 (0.45, 0.425)
111  great tool for connecting with professionals w...                  (0.2416666666666667, 0.3375)
112  i recommend linkedin for budding professionals...                                    (0.1, 0.2)
113  this app really helps to connect with people o...    (0.06666666666666667, 0.06666666666666667)
114  i've gotten most of my professional employment...     (0.35714285714285715, 0.6071428571428571)
115  so good and extremely reliable app. its work s...                 (0.31875, 0.7000000000000001)
116  this is a user friendly app, facilitating prof...     (0.29464285714285715, 0.4642857142857143)
117  very much helpful to improve yourself and have...                    (0.5788541666666667, 0.42)
118  excellent app to make professional connections...                                (0.5625, 0.55)
119  linkedin is a great platform for connecting wi...                                   (0.8, 0.75)
120  academic, formal and professional growth. this...                                  (0.05, 0.05)
121  this app is above and beyond. it has enhanced ...                                    (0.0, 0.1)
122  it's the best app for networking. always somet...                                   (0.75, 0.4)
123  perfect for growth,exposure,connection and eve...                                    (0.8, 1.0)
124  very professional with outstanding experience....                  (0.26333333333333336, 0.515)
125  obviously this is a superb platform for buildi...     (0.37878787878787873, 0.6515151515151515)
126  a complete professional application. love the ...      (0.2333333333333333, 0.3666666666666667)
127  hello , i joined frst tym linkedin and....my c...      (0.8049999999999999, 0.6900000000000002)
128  it's an amazing app, where we can get our drea...                     (0.6000000000000001, 0.9)
129  the app with the highest goodness - help in gl...                                    (0.0, 0.0)
130  excellent app for having all tech information,...      (0.5681818181818181, 0.7272727272727273)
131  amazing program free of bugs , needs to be mor...                              (0.46875, 0.675)
132  it would be better if i could sort people by t...                                    (0.1, 0.5)
133  i have enjoyed meeting so many different peopl...                (0.234375, 0.5499999999999999)
134  good way to keep professional info up to date ...    (0.39999999999999997, 0.35000000000000003)
135  it is best app for professional life i like it...    (0.48333333333333334, 0.39166666666666666)
136  great app, helped me transition back into civi...                                  (0.4, 0.375)
